Principales contribuyentesPresupuesto ordinario de 2013​,Principales contribuyentesPresupuesto ordinario de 2013​
 Unión Europea,"30,00 %"
 Estados Unidos,"22,00 %"
 Japón,"10,83 %"
 Alemania,"7,14 %"
 Francia,"5,59 %"
Reino Unido,"5,17 %"
China,"5,14 %"
Italia,"4,44 %"
 Canadá,"2,98 %"
 España,"2,97 %"
 Brasil,"2,93 %"
Rusia,"2,43 %"
 Australia,"2,07 %"
Corea del Sur,"1,99 %"
México,"1,84 %"
Países Bajos,"1,65 %"
Turquía,"1,32 %"
Suiza,"1,04 %"
Bélgica,"0,99 %"
Suecia,"0,96 %"
Polonia,"0,92 %"
Arabia Saudita,"0,86 %"
Noruega,"0,85 %"
